name,lon,lat
Świętego Mikołaja,17.02682134004875,51.11162465709669
Kazimierza Wielkiego,17.026864978972416,51.111505845567216
Ruska,17.026434899999998,51.11039625
Krupnicza,17.02725002504974,51.108465602595146
Zamkowa,17.0298129,51.1077605
Księdza Piotra Skargi,17.0385059,51.1075663
Oławska,17.03856305,51.10758975
Plac Powstańców Warszawy,17.050261754499008,51.10903358307351
Ofiar Oświęcimskich,17.036326967953542,51.107697064360515
Szewska,17.033487121673154,51.10734233557694
Białoskórnicza,17.027446381437404,51.11172143659976
Łazienna,17.028689277499893,51.11258594155291
Odrzańska,17.03155088645654,51.11337881586586
Grodzka,17.031683913707482,51.11338241383877
Benedyktyńska,17.05122075,51.11553235
Kardynała Stefana Wyszyńskiego,17.051203618500068,51.11568235257403
Henryka Sienkiewicza,17.05145735,51.1165952
Jana Ewangelisty Purkyniego,17.048167499999998,51.1101764
Wszystkich Świętych,17.02391351444704,51.11133655161162
plac Generała Józefa Bema,17.04216585,51.1170992
Generała Józefa Bema,17.04208375,51.1171016
Mikołaja Sępa-Szarzyńskiego,17.0524936,51.1164557
Gdańska,17.063627630610316,51.115612209122936
Aleja Jana Matejki,17.04923937811878,51.11696001365865
Bolesława Drobnera,17.0421042,51.1171612
Świętej Jadwigi,17.040972,51.11537849999999
bulwar Kardynała Stefana Wyszyńskiego,17.041023801867915,51.11541655475896
Most Młyński Południowy,17.04113372611911,51.11561504632214
bulwar Słoneczny,17.0416137,51.11631095
Bolesława Prusa,17.04205465,51.11917015
Księcia Józefa Poniatowskiego,17.04204712991995,51.119237777231184
Henryka Probusa,17.037952498608103,51.11833128363378
Ludwika Rydygiera,17.03467405466175,51.117727600817034
Hugona Kołłątaja,17.035924055036016,51.099956588603696
Tadeusza Kościuszki,17.036789810505745,51.10192402434736
Błogosławionego Czesława,17.0388204913649,51.10861193600211
plac Dominikański,17.03910257212342,51.10908700439201
Klemensa Janickiego,17.04064075,51.1090816
aleja Juliusza Słowackiego,17.0407407,51.109054900000004
Księdza Wincentego Kraińskiego,17.04069189587277,51.110739450047916
Świętego Ducha,17.04098988904994,51.112782359655824
Piaskowa,17.03952905,51.11317905
Plac Nowy Targ,17.0389993,51.110715150000004
Świętej Katarzyny,17.039018422535655,51.11065866778359
Stawowa,17.034790318330085,51.10218451228259
Dworcowa,17.038758199999997,51.09930335
Plac Orląt Lwowskich,17.021340633726414,51.10793547045867
Tęczowa,17.021296827870568,51.10785389917022
Joachima Lelewela,17.02315322289423,51.10349732117634
Generała Antoniego Madalińskiego,17.04340972662049,51.09794505980491
Muzealna,17.027313630409612,51.105566285454756
Braniborska,17.017484290218484,51.11045383390321
Szpitalna,17.01184845,51.1048841
Kolejowa,17.01429590301377,51.10535288759675
Prosta,17.01686710437206,51.106031537326054
Iwana Pawłowa,17.01841758861011,51.10660853815873
Bożego Ciała,17.03108975375696,51.10478088184049
Plac Tadeusza Kościuszki,17.029630637243663,51.10234421317108
Heleny Modrzejewskiej,17.03024064436277,51.10617837771226
Świętej Doroty,17.0302988787833,51.10632685864098
Tadeusza Zielińskiego,17.0243296,51.101359450000004
Szczęśliwa,17.017678150000002,51.09630475
rondo Żołnierzy Wyklętych,17.014550042649976,51.09733603835277
Zaporoska,17.01475031400357,51.097402309519246
Gajowicka,17.01422846342267,51.09724752738161
Żelazna,17.011885832118757,51.095932440269074
Grochowa,17.010144493509227,51.09466596555694
Krucza,17.008862950008282,51.093497583767636
Stanisława Dubois,17.03182287394276,51.117565285457324
Wojciecha Cybulskiego,17.031482194117373,51.116581231723245
Most Pomorski Północny,17.030944943484055,51.1155967915226
Mostowa,17.02463045,51.1155537
Władysława Jagiełły,17.02478393224343,51.115736854896916
Księcia Witolda,17.024506283184813,51.11566035341979
Romana Dmowskiego,17.024827799999997,51.11685555
Plac Uniwersytecki,17.034111,51.11415355
Mieszczańska,17.0245144,51.117070749999996
Generała Władysława Sikorskiego,17.02337413207811,51.11315607954598
Pochyła,17.01249307120522,51.10360048594633
wybrzeże Stanisława Wyspiańskiego,17.05444998981271,51.10983555664436
Adama Mickiewicza,17.07108974340882,51.108002597948776
Andrzeja Wajdy,17.070811944555086,51.107961055302844
Łaciarska,17.03483666877569,51.10784034103203
Wita Stwosza,17.03533572566059,51.11012080587846
Krowia,17.037058279938112,51.10969444310918
Biskupia,17.037028351269402,51.10963044937231
Eugeniusza Geta-Stankiewicza,17.044360463639205,51.11070514968209
Andrzeja Frycza-Modrzewskiego,17.04300044583177,51.110694942973815
Bernardyńska,17.04187815,51.11063215
plac Polski,17.04431185,51.11148905
Tadeusza Rejtana,17.035566005957104,51.10075133803635
Sokolnicza,17.01813919365006,51.11002140199545
Lubuska,17.01386195,51.09994555
Komandorska,17.02503462312375,51.09187915980253
Wróbla,17.00718141074524,51.09340725564823
